match,artist,external,points,Genre,followingCount,Film,playcount,id,Story,thumbnailUrl,department,displayName,Budget,likedCount,Rotten Tomatoes,visible,enabled,level,name,Profit,followerCount,Worldwide Gross,externalContributor,likeCount
242,tom.murray,false,16783,Engineering,258,tom.murray,242,3715,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3715/avatar,Engineering,Tom Murray,16783,75,167,true,true,Level 5,tom.murray,75,152,75,false,167
122,clint.lyon,false,5338,Hosting,51,clint.lyon,122,5186,Hosting,https://brewspace.jiveland.com/api/core/v3/people/5186/avatar,Hosting,Clint Lyon,5338,31,91,true,true,Level 4,clint.lyon,31,38,31,false,91
32,megan.moxley,false,11397,Marketing,43,megan.moxley,32,4340,Marketing,https://brewspace.jiveland.com/api/core/v3/people/4340/avatar,Marketing,Megan Moxley,11397,27,5,true,true,Level 4,megan.moxley,27,96,27,false,5
14,sandi.stretch,false,3514,Inside Sales - US,66,sandi.stretch,14,5736,Inside Sales - US,https://brewspace.jiveland.com/api/core/v3/people/5736/avatar,Inside Sales - US,Sandi Stretch,3514,8,6,true,true,Level 3,sandi.stretch,8,38,8,false,6
159,doug.woolley,false,9352,Support,133,doug.woolley,159,3211,Support,https://brewspace.jiveland.com/api/core/v3/people/3211/avatar,Support,Doug Woolley,9352,59,100,true,true,Level 4,doug.woolley,59,96,59,false,100
111,chelsea.bowen,false,5382,Hosting,50,chelsea.bowen,111,5771,Hosting,https://brewspace.jiveland.com/api/core/v3/people/5771/avatar,Hosting,Chelsea Bowen,5382,64,47,true,true,Level 4,chelsea.bowen,64,32,64,false,47
252,matthew.finlayson,false,19005,Engineering,136,matthew.finlayson,252,2926,Engineering,https://brewspace.jiveland.com/api/core/v3/people/2926/avatar,Engineering,Matthew Finlayson,19005,217,35,true,true,Level 5,matthew.finlayson,217,144,217,false,35
58,scott.romney,false,8159,Professional Services,75,scott.romney,58,3467,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/3467/avatar,Professional Services,Scott Romney,8159,26,32,true,true,Level 4,scott.romney,26,76,26,false,32
2,allison.price,false,539,Marketing,0,allison.price,2,5871,Marketing,https://brewspace.jiveland.com/api/core/v3/people/5871/avatar,Marketing,Allison Price,539,2,0,true,true,Level 2,allison.price,2,2,2,false,0
15,tim.wheatley,false,3744,Alliances,82,tim.wheatley,15,5534,Alliances,https://brewspace.jiveland.com/api/core/v3/people/5534/avatar,Alliances,Tim Wheatley,3744,13,2,true,true,Level 3,tim.wheatley,13,45,13,false,2
227,ilan.abehassera,false,11412,Product Management,49,ilan.abehassera,227,5332,Product Management,https://brewspace.jiveland.com/api/core/v3/people/5332/avatar,Product Management,Ilan Abehassera,11412,102,125,true,true,Level 4,ilan.abehassera,102,82,102,false,125
4,eric.johnson,false,4251,Finance,66,eric.johnson,4,3850,Finance,https://brewspace.jiveland.com/api/core/v3/people/3850/avatar,Finance,Eric Johnson,4251,3,1,true,true,Level 3,eric.johnson,3,117,3,false,1
46,frank.pathyil,false,9853,Sales Engineers - US,60,frank.pathyil,46,3311,Sales Engineers - US,https://brewspace.jiveland.com/api/core/v3/people/3311/avatar,Sales Engineers - US,Frank Pathyil,9853,34,12,true,true,Level 4,frank.pathyil,34,75,34,false,12
341,victor.soares,false,26907,Support,262,victor.soares,341,2522,Support,https://brewspace.jiveland.com/api/core/v3/people/2522/avatar,Support,Victor Soares,26907,160,181,true,true,Level 6,victor.soares,160,218,160,false,181
23,kfir.peled,false,4995,Enterprise Solutions,15,kfir.peled,23,4642,Enterprise Solutions,https://brewspace.jiveland.com/api/core/v3/people/4642/avatar,Enterprise Solutions,Kfir Peled,4995,11,12,true,true,Level 3,kfir.peled,11,21,11,false,12
6,duncan.krebs,false,276,Professional Services,7,duncan.krebs,6,6462,Professional Services,https://brewspace.jiveland.com/api/core/v3/people/6462/avatar,Professional Services,Duncan Krebs,276,5,1,true,true,Level 1,duncan.krebs,5,9,5,false,1
15,patrick.frye,false,1440,IT,12,patrick.frye,15,6179,IT,https://brewspace.jiveland.com/api/core/v3/people/6179/avatar,IT,Patrick Frye,1440,9,6,true,true,Level 2,patrick.frye,9,10,9,false,6
19,david.roe,false,3133,Engineering,58,david.roe,19,3163,Engineering,https://brewspace.jiveland.com/api/core/v3/people/3163/avatar,Engineering,David Roe,3133,14,5,true,true,Level 3,david.roe,14,63,14,false,5
51,inyang.umoh,false,6951,Engineering,57,inyang.umoh,51,5230,Engineering,https://brewspace.jiveland.com/api/core/v3/people/5230/avatar,Engineering,Inyang Umoh,6951,31,20,true,true,Level 4,inyang.umoh,31,42,31,false,20
